Entity;Relation;Domain;Range;Value
nba;leaguestadiums;sportsteam;sportsleague;chesapeake_energy_arena
san_francisco_49ers;teamplaysinleague;chemical;chemical;nfl
oxide;chemicalistypeofchemical;agriculturalproduct;agriculturalproduct;gas
oil;agriculturalproductincludingagriculturalproduct;athlete;athlete;olive_oil
jimmie_johnson;athletebeatathlete;musicartist;musicgenre;carl_edwards
nirvana;musicartistgenre;agriculturalproduct;agriculturalproduct;rock
vegetables;agriculturalproductincludingagriculturalproduct;sportsgame;http;carrots
n1960_world_series;haswikipediaurl;academicfield;physicsterm;//en.wikipedia.org/wiki/1960%20World%20Series
physics;academicfieldconcernssubject;bakedgood;beverage;forces
mousse_cake;bakedgoodservedwithbeverage;sportsteam;city;chocolate
hofstra_university;teamplaysincity;park;city;new_york
brockwell_park;parkincity;country;country;london
slovak_republic;countryalsoknownas;director;movie;republic
guillermo;directordirectedmovie;city;city;hellboy
columbia;cityalsoknownas;animal;food;vancouver
chicken;animaleatfood;company;product;teriyaki_sauce
adobe;producesproduct;city;country;pdf_reader
lisboa;citycapitalofcountry;agriculturalproduct;landscapefeatures;portugal
animals;agriculturalproductgrowninlandscapefeatures;politician;location;dense_forests
president_jimmy_carter;politicianrepresentslocation;country;country;states
belize;countryalsoknownas;city;country;republic
kobe;citylocatedincountry;park;city;japan
notting_hill_gate;parkincity;weapon;weapon;london
matchlocks;weaponssuchasweapons;attraction;city;nuclear_missile
opryland_usa;attractionbefallincity;musician;musicinstrument;nashville
harris;musicianplaysinstrument;arthropod;arthropod;guitar
moths;arthropodcalledarthropod;company;company;pests
general_electric;companyalsoknownas;organization;stateorprovince;ge
jacksonville_jaguars;organizationheadquarteredinstateorprovince;city;stateorprovince;florida
fort_walton_beach;citylocatedinstate;shoppingmall;city;florida
oaks_mall;shoppingmallincity;city;geopoliticallocation;losangeles
edmonton;citylocatedingeopoliticallocation;item;room;province
tub___shower;itemfoundinroom;item;room;bath
oven;itemfoundinroom;musicartist;musicgenre;kitchen
rolling_stones;musicartistgenre;animal;vegetable;rock
seafood;animaleatvegetable;item;room;rice
bathtubs;itemfoundinroom;city;country;rooms
hanoi;citycapitalofcountry;person;male;vietnam
rita_wilson;hashusband;lake;stateorprovince;tom_hanks
lake_huron;lakeinstate;animal;animal;michigan
farm_animals;animalistypeofanimal;animal;fish;animals
freshwater_species;animalsuchasfish;university;organization;bass
cmu;organizationacronymhasname;airport;city;carnegie_mellon_university
charles_de_gaulle_international_airport;airportincity;museum;city;paris
american_museum;museumincity;animal;insect;new_york
shellfish;animalsuchasinsect;language;university;crabs
