categoryName;englishName;humanFormat;populate;visible;generalizations;mutexExceptions;knownNegatives;instanceType;seedInstances;seedExtractionPatterns;conceptSynonyms;queryString;editDate;author;curator;description;freebaseID;comment;
queijo;cheeses;%s is a {cheese};TRUE;TRUE;comida;;"""ovo"" ""leite"" ""manteiga""";all;"""queijo suíço"" ""queijo fresco"" ""parmesão"" ""ricota"" ""queijo minas"" ""provolone"" ""brie"" ""cheddar"" ""gorgonzola"" ""meia cura"" ""prato"" ""mussarela"" ""queijo cabacinha"" ""queijo da serra da canastra""";"""_ é um caráter"" ""_ é o queijo"" ""é o queijo _"" ""queijo conhecido como _"" ""queijo chamado de _"" ""queijo apelidado de _"" ""_ é um dos queijos""  ""queijos tais como _"" ""queijos assim como _"" ""queijos como _"" ""queijo tal como _"" ""queijo assim como _"" ""queijo como _""";;queijo;2014-10-31;Maísa Duarte;Maísa Duarte;Any cheese;/food/cheese;Removed almost all and added brazilian names;
chefeDeCozinha;chefs;%s is a {chef};TRUE;TRUE;pessoa;celebridade masculino feminino pessoaPorLocalidade;;proper;"""Alex Atala"" ""Ricardo Caput"" ""Davi Costa"" ""Emmanuel Bassoleil"" ""Alain Tortosa"" ""Cinthya Maggi"" ""Allan Vila Espejo"" ""Carlos Bertolazzi"" ""Flávia Quaresma"" ""Mara Salles"" ""Erick Jacquin"" ""Alain Uzan""";"""o chefe de cozinha _"" ""a chefe de cozinha _"" ""o famoso chefe de cozinha _"" ""a famosa chefe de cozinha _"" ""_ o famoso chefe de cozinha "" ""_ a famosa chefe de cozinha"" "" o famoso cozinheiro francês _"" ""cozinheiro francês _"" ""o premiado chef de cozinha _"" ""_ criou receitas"" ""_ comanda o restaurante"" ""_ é chefe do restaurante"" ""renomado chef _"" ""_ é um chef"" ""_ é o chef"" ""é o chef _"" ""chef conhecido como _"" ""chef chamado de _"" ""chef apelidado de _"" ""_ é um dos chefs"" ""chefs tais como _"" ""chefs assim como _"" ""chefs como _"" ""chef tal como _"" ""chef assim como _"" ""chef como _"" ""_ é uma chef"" ""_ é a chef"" ""é a chef _"" ""chef conhecida como _"" ""chef chamada de _"" ""chef apelidada de _"" ""_ é uma das chefs"" ";;chefe de cozinha;2014-10-31;Maísa Duarte;Maísa Duarte;A chef is a professional cook.;/dining/chef;Removed almost all and added brazilian names/known in Brazil;
química;chemicals;%s is a {chemical};TRUE;TRUE;abstractThing;droga;;common;"""etilenoglicol"" ""hidróxido de amônio"" ""carbonato de cálcio"" ""óxido de cálcio"" ""ácido bórico"" ""hidróxido de cálcio"" ""carbonato de potássio"" ""ácido ascórbico"" ""hidróxido de sódio"" ""cloreto de amônio""";"""_ é um componente químico"" ""_ é o componente químico"" ""é o componente químico _"" ""componente químico conhecido como _"" ""componente químico chamado de _"" ""componente químico apelidado de _"" ""_ é um dos componentes químicos"" ""componentes químicos tais como _"" ""componentes químicos assim como _"" ""componentes químicos como _"" ""componente químico tal como _"" ""componente químico assim como _"" ""componente químico como _""";;química;2014-10-31;Maísa Duarte;Maísa Duarte;"A chemical compound is a molecular substance consisting of multiple atoms which are bonded together by a chemical reaction. This type can be used for compounds made of the same element (e.g. allotropes) or multiple different elements. Compounds are different from chemical mixtures because mixtures can be mixed and separated physically, without a reaction; The elements of the periodic table";/chemistry/chemical_compound /chemistry/chemical_element;Translated;
cidade;cities;%s is a {city};TRUE;TRUE;localizaçãoGeopolítica organizaçãoGeopolítica geolocalização cenaVisualizável;condado ilha;;proper;" ""Itaú de Minas"" ""Campinas"" ""Araraquara"" ""São Paulo"" ""Nova York"" ""Buenos Aires"" ""Patos de Minas"" ""Cuiabá"" ""Florianópolis"" ""São José dos Campos"" ""Franca"" ""Brasília"" ""Jacareí"" ""Brotas"" ""Rio Claro""";"""cidades tais como _"" ""_ é uma cidade do interior"" ""_ é uma cidade paulista"" ""_ é uma cidade mineira"" ""_ é uma cidade brasileira"" ""_ é uma cidade"" ""_ é uma cidade pequena"" ""_ é uma cidade grande"" ""_ é uma megalópole"" ""_ é a capital"" ""cidades como _"" ""a cidade de _"" ""_ é uma cidade européia"" ""_ é uma cidade famosa"" ""o prefeito de _"" ""a capital do _"" ""município de _""";{“New York City”, “New York”} {“Los Angeles”, “L.A.”} {“Philadelphia”, “Philly”} {“Rio de Janeiro”, “Rio”} {“Mumbai”, “Bombay”} {“Washington D.C.”, “D.C.”} {“Salt Lake”, “Salt Lake City”} {“St. Petersburg”, “St Petersburg”} {“St Louis”, “St . Louis”} {“Fort Lauderdale”, “Ft . Lauderdale”};cidade;2014-10-31;Maísa Duarte;Maísa Duarte;City/town/village refers to all named inhabited places at the most locally recognized level, but above the level of neighborhood. It is the most local region where there is a form of government or self-organization.   Cities/towns/villages are larger than neighborhoods, and are typically contained within a larger administrative division such as a county, department, province, etc. It should be noted, however, that large or significant cities may themselves also function as higher-level administrative divisions.   For more information, please see the Freebase wiki page on City/Town/Village.;/location/citytown;Removed almost all and added brazilian names/known in Brazil;
roupa;clothing;%s is a kind of {clothing};TRUE;TRUE;item;;;common;"""casacos"" ""vestidos"" ""calças"" ""camisas"" ""saias"" ""biquini"" ""vestidos"" ""chapéus"" ""short"" ""meias"" ""luvas"" ""pijama"" ""roupas íntimas"" ""cintos"" ""lenços""";"""cidades tais como _"" ""cidades assim como _"" ""cidades como _"" ""cidade tal como _"" ""cidade assim como _"" ""cidade como _""  ""_ é uma cidade"" ""_ é a cidade"" ""é a cidade _"" ""cidade conhecida como _"" ""cidade chamada de _"" ""cidade apelidada de _"" ""_ é uma das cidades"" ";;roupa;2014-10-31;Maísa Duarte;Maísa Duarte;This type is for kinds of garments or clothing.  For lack of a meaningful way to constrain this category through definition or existent sibling categories, particularly when it comes to adorning the body for purposes of fashion (e.g. jewlery, colored contact lenses, costumery) or of utility (e.g. armor, kneepads or other sports equipment, corrective lenses), this will include anything wearable.;/fashion/garment;Removed some and added brazilian names;
treinador;coaches;%s {coaches} a sports team;TRUE;TRUE;pessoa;masculino feminino atleta pessoaPorLocalidade professor;;proper;"""Luiz Felipe Scolari"" ""Zé Roberto"" ""Jair Pereira"" ""Paulo Bassul"" ""Marco Aurélio"" ""Zagallo"" ""Carlos Alberto Parreira"" ""Dunga"" ""Muricy Ramalho"" ""Mano Menezes"" ""Tite"" ""Bernardinho "" ""Jayme de Almeida"" ""Telê Santana"" ""Emerson Leão"" ""Ney Franco"" ""Ricardo Gomes"" ""Dorival Júnior"" ""Valmir Louruz"" ""Cuca"" ""Vanderlei Luxemburgo"" ""Abel Braga"" ";"""_ é um treinador"" ""_ é o treinador"" ""é o treinador _"" ""treinador conhecido como _"" ""treinador chamado de _"" ""treinador apelidado de _"" ""_ é um dos treinadores"" ""treinadores tais como _"" ""treinadores assim como _"" ""treinadores como _"" ""treinador tal como _"" ""treinador assim como _"" ""treinador como _"" ""_ é uma treinadora"" ""_ é a treinadora"" ""é a treinadora _"" ""treinadora conhecida como _"" ""treinadora chamada de _"" ""treinadora apelidada de _"" ""_ é uma das treinadoras"" ";{“Bobby Johnson”, “Coach Johnson”} {“Mike Mularkey”, “Coach Mularkey”} {“Gary Kubiak”, “Head Coach Gary Kubiak”} {“Bill Parcells”, “Parcells”} {“Chris Thompson”, “Coach Thompson”} {“Coach Wooden”, “John Wooden”} {“Phil Garner”, “Manager Phil Garner”} {“Dusty Baker”, “Manager Dusty Baker”} {“Bobby Williams”, “Bob Williams”} {“Bob Stoops”, “Head Coach Bob Stoops”};treinador;2014-10-31;Maísa Duarte;Maísa Duarte;A coach is a trainer for a sports team. He leads the team in exercises and manages the team during gameplay. This category includes assistant coaches and other trainers.;;Removed almost all and added brazilian names;
açõesCognitivas;cognitive processes;%s is a {cognitive action};TRUE;TRUE;abstractThing;;;common;"""pensando"" ""concluindo"" ""ponderando"" ""determinando"" ""julgando"" ""prevendo"" ""duvidando"" ""lembrando"" ""sabendo"" ""aprendendo"" ""imaginando""";"""ações cognitivas tais como _"" ""ações cognitivas assim como _"" ""ações cognitivas como _"" ""ação cognitiva tal como _"" ""ação cognitiva assim como _"" ""ação cognitiva como _"" ""_ é uma ação cognitiva"" ""_ é a ação cognitiva"" ""é a ação cognitiva _"" ""ação cognitiva conhecida como _"" ""ação cognitiva chamada de _"" ""ação cognitiva apelidada de _"" ""_ é uma das ações cognitivas"" ";;ações cognitivas;2014-10-31;Maísa Duarte;Maísa Duarte;"pertaining ""to the action or process of knowing"" (http://en.wikipedia.org/wiki/Cognitive_science)";;Translated, removed few names and added Portuguese names;
cor;colors;%s is a {color};TRUE;TRUE;abstractThing atributoVisualizável;;;common;"""preto"" ""azul"" ""branco"" ""verde"" ""laranjado"" ""vermelho"" ""amarelo"" ""azul escuro"" ""violeta"" ""roxo"" ""marrom "" ""bege"" ""laranja"" ""prata"" ""cinza""";"""cores tais como _"" ""cores assim como _"" ""cores como _"" ""cor tal como _"" ""cor como _"" ""_ é uma cor"" ""_ é a cor"" ""é a cor _"" ""cor conhecida como _"" ""cor chamada de _"" ""cor apelidada de _"" ""_ é uma das cores"" ";;cor;2014-10-31;Maísa Duarte;Maísa Duarte;Color (or colour) is the visual perceptual property corresponding in humans to the categories called red, yellow, white, etc.;/visual_art/color;Some deleted, some translated  and some added;
comediante;comedians;%s is a {commedian};TRUE;TRUE;pessoa;celebridade masculino feminino pessoaPorLocalidade ator escritor;;proper;"""Chico Anysio"" ""Jô Soares"" ""Ronald Golias"" ""Renato Aragão"" ""Mussum"" ""Marcelo Adnet "" ""Danilo Gentili"" ""Rafinha Bastos"" ""Oscarito"" ""Ary Toledo"" ""Mazzaropi"" ""Carlos Alberto de Nóbrega""";"""_ comediante brasileiro"" ""up comedy de _"" "" stand-up de _"" ""humorista revelação de _"" ""_ humorista revelação"" ""_ o trapalhão"" ""o trapalhão _"" "" comediante inglês _"" ""_ comediante inglês"" "" comediante americano _"" ""_ comediante americano"" ""o comediante _"" ""irmão do humorista _"" ""o humorista _"" "" humoristas, como _"" "" humoristas como _"" ""_ humorista do cqc"" ""_ faz parte do cqc"" ""_ integrante do porta dos fundos"" ""_ integrante da escolinha do professor raimundo"" ""_ é um humorista"" ""_ é o humorista"" ""é o humorista _"" ""humorista conhecido como _"" ""humorista chamado de _"" ""humorista apelidado de _"" ""_ é um dos humoristas"" ""humoristas tais como _"" ""humoristas assim como _"" ""humoristas como _"" ""humorista tal como _"" ""humorista assim como _"" ""humorista como _"" ""_ é uma humorista"" ""_ é a humorista"" ""é a humorista _"" ""humorista conhecida como _"" ""humorista chamada de _"" ""humorista apelidada de _"" ""_ é uma das humoristas"" ";;comediante;2014-10-31;Maísa Duarte;Maísa Duarte;"""a person who makes a living by making you laugh""";none;Removed almost all and added brazilian names;
empresa;companies;%s is a {company};TRUE;TRUE;organização;;;proper;" ""IBM"" ""Alcoa"" ""Amazon"" ""AMD"" ""Apple"" ""Positivo"" ""Magazine Luiza"" ""Vale"" ""Petrobrás"" ""General Motors"" ""Hotel IBIS"" ""Nestle"" ""Carrefour"" ""Brastemp"" ""Pão de Açúcar"" ""TAM""";"""empresas tais como _"" ""empresas assim como _"" ""empresas como _"" ""empresas tal como _"" ""empresas assim como _"" ""empresas como _"" ""_ é uma empresa"" ""_ é a empresa"" ""é a empresa _"" ""empresa conhecida como _"" ""empresa chamada de _"" ""empresa apelidada de _"" ""_ é uma das empresa"" ";{“General Motors”, “GM”} {“Adobe Systems”, “Adobe”} {“Apple”, “Apple Computer”} {“Dell”, “Dell Computer”} {“Cisco”, “Cisco Systems”} {“Southwest Airlines”, “Southwest”} {“Biogen”, “Biogen Idec”} {“Dow Chemical Company”, “Dow Chemical”} {“United”, “United Airlines”} {“Shell”, “Shell Oil”};empresa;2014-10-31;Maísa Duarte;Maísa Duarte;A company is an organization whose goal is to make money;/business/business_operation;Removed almost all and added brazilian names;
condimento;condiments;%s is a {condiment};TRUE;TRUE;comida;;;all;"""ketchup"" ""mostarda"" ""maionese"" ""pimenta"" ""shoyo"" ""molho de churrasco"" ""caldo de galinha"" ""wasabi"" ""caldo de carne"" ""vinagre""";"""_ é um condimento"" ""_ é o condimento"" ""é o condimento _"" ""condimento conhecido como _"" ""condimento chamado de _"" ""condimento apelidado de _"" ""_ é um dos condimentos"" ""condimentos tais como _"" ""condimentos assim como _"" ""condimentos como _"" ""condimento tal como _"" ""condimento assim como _"" ""condimento como _"" ""_ é um tempero"" ""_ é o tempero"" ""é o tempero _"" ""tempero conhecido como _"" ""tempero chamado de _"" ""tempero apelidado de _"" ""_ é um dos temperos"" ""temperos tais como _"" ""temperos assim como _"" ""temperos como _"" ""tempero tal como _"" ""tempero assim como _"" ""tempero como _""";;condimento;2014-10-31;Maísa Duarte;Maísa Duarte;A sauce or seasoning added to food to impart a particular flavor or to complement the dish. (Wikipedia);;Removed some and added brazilian names;
conferência;conferences;%s is a {conference};TRUE;TRUE;evento;;;proper;" ""ICML"" ""NIPS"" ""AAAI"" ""IJCAI"" ""G20"" ""TED Conference"" ""KDD"" ""ACM"" ""WSDM"" ""Semantic Web Conference"" ""SIGIR"" ""SODA"" ""ISWC"" ""SIGGRAPH"" ""CIKM""";"""conferências tais como _"" ""conferências assim como _"" ""conferências como _"" ""conferência tal como _"" ""conferência assim como _"" ""conferência como _"" ""_ é uma conferência"" ""_ é a conferência"" ""é a conferência _"" ""conferência conhecida como _"" ""conferência chamada de _"" ""conferência apelidada de _"" ""_ é uma das conferências""";;conferência;2014-10-31;Maísa Duarte;Maísa Duarte;"A conference is a regular or recurring meeting of people to ""confer"" about a topic. It may take many forms.";/conferences/conference_series;No changes;
itensEletrônicosDeConsumo;consumer electronics;%s is a {consumer electronic device};TRUE;TRUE;item;;;all;" ""video games"" ""software de computador"" ""sistema operacional"" ""impressora jato de tinta"" ""laptops"" ""monitor LCD"" ""console de jogo"" ""microfone"" ""fones de ouvido"" ""caixas de som"" ""discos externos"" ""leitores de cartão de memória"" ""computadores"" ""câmera fotográfica"" ""computador"" ""notebook""";"""_ é um item eletrônico"" ""_ é o item eletrônico"" ""é o item eletrônico _"" ""item eletrônico conhecido como _"" ""item eletrônico chamado de _"" ""item eletrônico apelidado de _"" ""_ é um dos itens eletrônicos"" ""itens eletrônicos tais como _"" ""itens eletrônicos assim como _"" ""itens eletrônicos como _"" ""item eletrônico tal como _"" ""item eletrônico assim como _"" ""item eletrônico como _""";;itens eletrônicos de consumo;2014-10-31;Maísa Duarte;Maísa Duarte;An item intended for ordinary people that runs on electricity, excluding appliances. This category includes accessories for consumer electronic items, such as video games and DVDs.;;Translated;
continente;continents;%s is a {continent};FALSE;FALSE;localizaçãoGeopolítica;país ilha;;proper;" ""África"" ""Antártica"" ""Ásia"" ""Austrália"" ""Europa"" ""América do Norte"" ""América do Sul""";"""_ é um continente"" ""_ é o continente"" ""é o continente _"" ""continente conhecido como _"" ""continente chamado de _"" ""continente apelidado de _"" ""_ é um dos continentes"" ""continentes tais como _"" ""continentes assim como _"" ""continentes como _"" ""continente tal como _"" ""continente assim como _"" ""continente como _""";;continente;2014-10-31;Maísa Duarte;Maísa Duarte;A continent is a large land mass, defined mostly by conventional use, but closely related to tectonic plates within the earth's crust.;/location/continent;Translated;
convenção;conventions;%s is a {convention};TRUE;TRUE;evento;;;proper;" ""Electronic Entertainment Expo"" ""Origins Game Fair"" ""Midwestcon"" ""Consumer Electronics Show"" ""Anthrocon"" ""Otakon"" ""Further Confusion"" ""ConFurence"" ""Vericon"" ""Gen Con"" ""Linucon"" ""Game Developers Conference""";"""seguintes workshops _"" ""o simpósio _"" ""o congresso _"" ""10º Simpósio _"" ""1º Simpósio _"" ""5º Simpósio _"" ""7º Congresso _"" ""1º Congresso _"" ""5º Congresso _"" ""abertas as inscrições para o simpósio _"" ""abertas as inscrições para o congresso _"" ""a conferência _"" ""_ call for papers"" ""call for papers for the _"" ""call for papers _"" ""Welcome to the 14th International _"" ""Welcome to the 8th International _"" ""Welcome to the 6th International _"" ""Welcome to the 5th International _"" ""_ is a major international conference"" ""_ is  international conference"" ""_ is conference""  ""_ é um simpósio"" ""_ é o simpósio"" ""é o simpósio _"" ""simpósio conhecido como _"" ""simpósio chamado de _"" ""simpósio apelidado de _"" ""_ é um dos simpósios""  ""simpósios tais como _"" ""simpósios assim como _"" ""simpósios como _"" ""simpósio tal como _"" ""simpósio assim como _"" ""simpósio como _""";;convenção;2014-10-31;Maísa Duarte;Maísa Duarte;"""a large meeting, such as the Star Trek Convention""";none;;
país;countries;%s is a {country};TRUE;TRUE;localizaçãoGeopolítica organizaçãoGeopolítica geolocalização;ilha continente;;proper;" ""Áustria"" ""Brasil"" ""Canadá"" ""Egito"" ""França"" ""Alemanha"" ""Indonésia"" ""Iraque"" ""México"" ""Marrocos"" ""Netherlands"" ""Nova Zelândia"" ""África do Sul"" ""República Togolesa"" ""Estados Unidos""";"""_ é um país"" ""_ é o país"" ""é o país _"" ""país conhecido como _"" ""país chamado de _"" ""país apelidado de _"" ""_ é um dos países"" ""países tais como _"" ""países assim como _"" ""países como _"" ""país tal como _"" ""país assim como _"" ""país como _""";{“Dominican Republic”, “The Dominican Republic”}, {“U.S.A.”, “United States of America”} {“Somali Republic”, “Somalia”} {“Yugoslav Federation”, “Yugoslavia”} {“Bosnia”, “Bosnia-Herzegovina”} {“S.Korea”, “South Korea”} {“The Philippines”, “Philippines”} {“Laos”, “Lao People ' s Democratic Republic”} {“Tadjikistan”, “Tajikistan”} {“The United Kingdom”, “United Kingdom”};país;2014-10-31;Maísa Duarte;Maísa Duarte;"The type ""country"" in Freebase can and should be used with a variety of topics. The most common will be probably be current and former independent nations, potentially including composite entities such as empires. It can also be used for autonomous entities within such a composite, such as the four current constituent countries (England, Northern Ireland, Scotland, and Wales) of the United Kingdom.  Anything having an ISO country code qualifies as a country, including contested countries like Taiwan, and including territories of minor or no population.";/location/country;Translated;
condado;counties;%s is a {county};TRUE;TRUE;localizaçãoGeopolítica organizaçãoGeopolítica;cidade;;proper;"""Arlington""  ""Shetland"" ""Condado de Orange"" ""Coimbra"" ""King"" ""Clark"" ""Edessa"" ""Condado de Los Angeles"" ""Condado de Cook"" ""Westchester"" ""Condado de Lincoln"" ""Miami-Dade"" ""Condado De Alhama"" ""Condado de Harris"" ""Condado de Beirós""";"""_ é um condado"" ""_ é o condado"" ""é o condado _"" ""condado conhecido como _"" ""condado chamado de _"" ""condado apelidado de _"" ""_ é um dos condados"" ""condados tais como _"" ""condados assim como _"" ""condados como _"" ""condado tal como _"" ""condado assim como _"" ""condado como _""
";;condado;2014-10-31;Maísa Duarte;Maísa Duarte;Intermediate administrative region between state/province and local munincipal.  This category also encompasses customary abberations, such as the boroughs of the City of Greater New York being treated as logically equivalent to counties.;/location/us_county;Removed almost all and added Portuguese names;
trabalhoCriativo;creative works;%s is a {creative work};FALSE;FALSE;abstractThing;;;proper;"""Monalisa"" ""U2 Album"" ""Obra de arte"" ""música"" ""quadro"" ""pintura"" ""As quatro estações"" ""Pais e Filhos"" ""Colheita de Café"" ""Abaporu"" ""Retirantes"" ""Operários"" ""Segunda Classe"" ""Vento no Litoral"" ""A caneta e a enxada"" ""filho adotivo"" ""Como nossos pais"" ""mania de você""";"""_ é um trabalho criativo"" ""_ é o trabalho criativo"" ""é o trabalho criativo _"" ""trabalho criativo conhecido como _"" ""trabalho criativo chamado de _"" ""trabalho criativo apelidado de _"" ""_ é um dos trabalhos criativos"" ""trabalhos criativos tais como _"" ""trabalhos criativos assim como _"" ""trabalhos criativos como _"" ""trabalho criativo tal como _"" ""trabalho criativo assim como _"" ""trabalho criativo como _"" ""_ é uma obra de arte"" ""_ é a obra de arte"" ""é a obra de arte _"" ""obra de arte conhecida como _"" ""obra de arte chamada de _"" ""obra de arte apelidada de _"" ""_ é uma das obras de arte""";;trabalho criativo;2014-10-31;Maísa Duarte;Maísa Duarte;"""the product of any creative effort, including movies, paintings, musical songs, etc.""";none;;
cooperativaDeCrédito;credit unions;%s is a {credit union};TRUE;TRUE;empresa;;;proper;"""SICOOB COCRED"" ""UNICRED SAO CARLOS"" ""COOPERATIVA DE CREDITO RURAL DO VALE DO MOGI GUAÇU""  ""CREDIGUAÇU"" ""MASTERCRED"" ""Sicoob Crediacisc""";"""cooperativas de crédito tais como _"" ""cooperativas de crédito assim como _"" ""cooperativas de crédito como _"" ""cooperativa de crédito tal como _"" ""cooperativa de crédito assim como _"" ""cooperativa de crédito como _"" ""_ é uma cooperativa de crédito"" ""_ é a cooperativa de crédito"" ""é a cooperativa de crédito _"" ""cooperativa de crédito conhecida como _"" ""cooperativa de crédito chamada de _"" ""cooperativa de crédito apelidada de _"" ""_ é uma das cooperativas de crédito"" ";;cooperativa de crédito;2014-10-31;Maísa Duarte;Maísa Duarte;Banks that are credit unions;;;
crimeOuAcusação;crimes;%s ia a {crime or charge};TRUE;TRUE;evento;tipodeEventoMilitar;;all;"""assassinato"" ""corrupção"" ""roubo"", ""assalto"" ""crime"" ""conspiração"" ""difamação"" ""injúria"" ""racismo"" ""abuso de poder"" ""tiro a queima roupa"" ""desvio de dinheiro público""";"""_ é um crime"" ""_ é o crime"" ""é o crime _"" ""crime conhecido como _"" ""crime chamado de _"" ""crime apelidado de _"" ""_ é um dos crimes"" ""crimes tais como _"" ""crimes assim como _"" ""crimes como _"" ""crime tal como _"" ""crime assim como _"" ""crime como _""";;crime ou acusação;2014-10-31;Maísa Duarte;Maísa Duarte;A crime or other kind of offence or violation with which a person can be charged;;Translated (only 4 removed and 4 added);
criminoso;criminals;%s is a {criminal};TRUE;TRUE;pessoa;celebridade masculino feminino pessoaPorLocalidade;;proper;"""Al Capone"" ""Lampião"" ""Madame Satã"" ""Fernandinho Beira-Mar"" ""João Acácio Pereira da Costa"" "" Eduardo Ravelo"" ""Goleiro Bruno"" ""Maníaco do Parque"" ""Alexandre Nardoni"" ""Guilherme de Pádua"" "" Suzane Richthofen"" ""Francisco de Assis Pereira"" ""Adriano da Silva""";"""_ é um criminoso"" ""_ é o criminoso"" ""é o criminoso _"" ""criminoso conhecido como _"" ""criminoso chamado de _"" ""criminoso apelidado de _"" ""_ é um dos criminosos"" ""criminosos tais como _"" ""criminosos assim como _"" ""criminosos como _"" ""criminoso tal como _"" ""criminoso assim como _"" ""criminoso como _""";;criminal;2014-10-31;Maísa Duarte;Maísa Duarte;"""a person who commits a crime""";none;Removed almost all and added brazilian (or known) names;
crustáceo;crustaceans;%s is a {crustacean};TRUE;TRUE;artrópode;;;common;"""lagosta"" ""camarão"" ""siri"" ""caranguejo"" ""malacostraca"" ""tatuzinhovo de jardim"" ""pulgas de água"" ""dáfnia"" ""harpacticóide"" ""cladócera "" ""copépodes "" ""craca""";"""_ é um crustáceo"" ""_ é o crustáceo"" ""é o crustáceo _"" ""crustáceo conhecido como _"" ""crustáceo chamado de _"" ""crustáceo apelidado de _"" ""_ é um dos crustáceos"" ""crustáceos tais como _"" ""crustáceos assim como _"" ""crustáceos como _"" ""crustáceo tal como _"" ""crustáceo assim como _"" ""crustáceo como _""";;crustáceo;2014-10-31;Maísa Duarte;Maísa Duarte;form a very large group of arthropods, usually treated as a subphylum, which includes such familiar animals as crabs, lobsters, crayfish, shrimp, krill and barnacles. Like other arthropods, crustaceans have an exoskeleton, which they moult to grow. They are distinguished from other groups of arthropods, such as insects, myriapods and chelicerates by the possession of biramous (two-parted) limbs, and by the nauplius form of the larvae.;none;Removed almost all and added Portuguese names;
moeda;currencies;%s is a {currency};TRUE;TRUE;abstractThing;questõesPolíticas;;common;"""dólar"" ""real"" ""peso argentino"" ""peso chileno"" ""euro"" ""libra esterlina"" ""rupia cingalesa"" ""libra sudanesa"" ""libra síria"" ""rupia indiana"" ""novo sol peruano"" ""peso filipino"" ""coroa sueca"" ""lats letão"" ""dinar líbio""";"""moedas tais como _"" ""moedas assim como _"" ""moedas como _"" ""moeda tal como _"" ""moeda assim como _"" ""moeda como _"" ""_ é uma moeda"" ""_ é a moeda"" ""é a moeda _"" ""moeda conhecida como _"" ""moeda chamada de _"" ""moeda apelidada de _"" ""_ é uma das moedas""  ";;moeda;2014-10-31;Maísa Duarte;Maísa Duarte;A currency is money that is used (or has been used) as a medium of exchange;/finance/currency;Removed almost all and added Portuguese names;
data;dates;%s is a {date};TRUE;TRUE;abstractThing;;;all;"""11 de setembro de 2001"" ""terça-feira"" ""25 de dezembro"" ""próximo domingo"" ""15 de novembro"" ""7 de setembro"" ""próxima segunda-feira"" ""último sábado"" ""março de 2012"" ""01 de abril""";"""datas tais como _"" ""datas assim como _"" ""datas como _"" ""data tal como _"" ""data assim como _"" ""data como _"" ""_ é uma data"" ""_ é a data"" ""é a data _"" ""data conhecida como _"" ""data chamada de _"" ""data apelidada de _"" ""_ é uma das datas"" ";;data;2014-10-31;Maísa Duarte;Maísa Duarte;"a particular month, day, and year at which some event happened or will happen; the time or period to which any event or thing belongs; period in general (http://dictionary.reference.com/browse/date)";;Translated (only 2 removed and 2 added);
dataLiteral;dates;%s is a {date};FALSE;FALSE;data;ano;;javaDateFormat;"""dia 2 de Janeiro"" ""31 de dezembro"" ""25 de dezembro"" ""01 de Janeiro"" ""último dia do mês"" ""dia 20"" ""dia vinte e 1""";"""datas literais tais como _"" ""datas literais assim como _"" ""datas literais como _"" ""data literal tal como _"" ""data literal assim como _"" ""data literal como _"" ""_ é uma data literal"" ""_ é a data literal"" ""é a data literal _"" ""data literal conhecida como _"" ""data literal chamada de _"" ""data literal apelidada de _"" ""_ é uma das datas literais""  ";;data literal;2014-10-31;Maísa Duarte;Maísa Duarte;represents a date.;/type/datetime;;
DiaDaSemana;;%s is a {day of the week};FALSE;FALSE;data;;;proper;"""segunda-feira"" ""terça-feira"" ""quarta-feira"" ""quinta-feira"" ""sexta-feira"" ""sábado"" ""domingo""";"""dias da semana tais como _"" ""dias da semana assim como _"" ""dias da semana como _"" ""dia da semana tal como _"" ""dia da semana assim como _"" ""dia da semana como _"" ""_ é uma dia da semana"" ""_ é a dia da semana"" ""é a dia da semana _"" ""dia da semana conhecida como _"" ""dia da semana chamada de _"" ""dia da semana apelidada de _"" ""_ é uma das dias da semana""  ";;dia da semana;2014-10-31;Maísa Duarte;Maísa Duarte;Seven named days of the week;/time/day_of_week;Translated;
diretorDeCinema;directors;%s is a {director};TRUE;TRUE;pessoa;masculino feminino pessoaPorLocalidade ator professor;;proper;"""José Padilha"" ""Walter Salles"" ""Fernando Meirelles"" ""Bruno Barreto"" ""Eduardo Coutinho"" ""Andrucha Waddington"" ""Carlos Manga"" ""Carla Camurati"" ""Sandra Werneck"" ""Hector Babenco"" ""Beto Brant"" ""Fábio Barreto"" ""Luis Fernando Carvalho"" ""Claudio Assis""";"""_ é um diretor de cinema"" ""_ é o diretor de cinema"" ""é o diretor de cinema _"" ""diretor de cinema conhecido como _"" ""_ são os diretores de cinema"" ""diretores de cinema conhecidos como _"" ""_ são alguns dos diretores de cinema"" ""diretores de cinema tais como _"" ""diretores de cinema assim como _"" ""diretores de cinema como _"" ""o diretor de cinema _"" ""_ dirigiu o filme"" ""_ dirigiu no cinema""";;diretor;2014-10-31;Maísa Duarte;Maísa Duarte;Movie directors.;;;
